gene_name	known_status	single_exon	pval	qval	esti_log2FC
CRISPLD2	1	0	1.5876098053664928e-5	5.119706211784679e-4	3.519121436167128
CRTAP	1	0	0.0011284194800721794	0.015100112458055301	0.40475336380605537
CRYM	1	0	3.916573549476432e-4	0.006613117108319497	-2.4975497926669252
CSF1R	1	0	0.0024476605768955603	0.02669920751243485	3.4215012275192898
CSNK1E	1	0	1.5983723567384147e-4	0.0032646149402214756	0.510385979863531
CSRNP1	1	0	6.165515588622713e-4	0.009512509765303614	0.5547243558982151
CSTF2T	1	1	0.003198663092510308	0.03270950878343725	-0.9466594678887206
CTB-14A14.2	1	1	0.005392307792612128	0.04788972502341733	2.264725304612638
CTB-151G24.2	1	1	0.001548915223288774	0.019138674016416498	1.1268210732065718
CTB-60B18.15	1	1	1.257691372446115e-4	0.0027217487394637285	2.53499948691162
CTC-241F20.3	1	0	7.929987894495134e-4	0.01151458397158533	1.519372799274413
CTD-2021J15.1	1	0	0.004858402365111409	0.04419466847500629	1.6478681012888043
CTD-2066L21.2	1	0	3.286566103009081e-5	9.233032821410543e-4	2.313130492920493
CTD-2066L21.3	1	0	2.5146411336352817e-8	1.8220007403706775e-6	2.3899836530300944
CTD-2078B5.2	1	0	0.0033439973287420904	0.033833037047670746	2.8054641972483134
CTD-2201E18.3	1	0	2.5025989526544144e-4	0.004648438900264527	0.7952128119903968
